Title,Time,Link,Subdomain,Sentiment
Activist Politan Plans Second Proxy Battle at Masimo,2024-03-24 19:42,https://www.wsj.com/business/deals/activist-politan-plans-second-proxy-battle-at-masimo-dc212962?mod=business_lead_story,Business,0
NBC’s Chuck Todd Blasts Network as Backlash to Hiring Ex-RNC Chief Grows,2024-03-24 14:42,https://www.wsj.com/business/media/msnbc-has-no-plans-to-have-ex-rnc-chief-on-network-0d88e70c?mod=business_lead_pos1,Business,0
Big Tech’s Latest Obsession Is Finding Enough Energy,2024-03-24 07:42,https://www.wsj.com/business/energy-oil/big-techs-latest-obsession-is-finding-enough-energy-f00055b2?mod=business_lead_pos2,Business,2
A Brazen Yogurt Heist Shows How Cyber Gangs Are Hijacking U.S. Goods,2024-03-24 07:42,https://www.wsj.com/business/logistics/a-brazen-yogurt-heist-shows-how-cyber-gangs-are-hijacking-u-s-goods-7a8c1843?mod=business_lead_pos3,Business,0
Netflix’s Co-CEOs Are Nothing Alike. That’s a Good Thing.,2024-03-24 05:42,https://www.wsj.com/business/media/the-odd-couple-steering-netflix-through-a-comeback-3e0c0be0?mod=business_lead_pos4,Business,2
"Elon Musk’s X Needs Creators, but They Don’t Need X",2024-03-24 05:42,https://www.wsj.com/business/media/elon-musk-x-content-creators-recruitment-f104dc77?mod=business_lead_pos5,Business,2
Bernie Sanders Tries to Legislate Leisure,2024-03-24 14:42,https://www.wsj.com/articles/bernie-sanders-tries-to-legislate-leisure-32-hour-workweek-2625db0f?mod=business_trendingnow_opn_pos1,Articles,0
AI Will Mean Cheaper Food,2024-03-24 14:42,https://www.wsj.com/articles/ai-will-mean-cheaper-food-more-efficient-farms-logistics-fertilizer-water-929556a3?mod=business_trendingnow_opn_pos2,Articles,2
The Lost Era of Reliability,2024-03-24 14:42,https://www.wsj.com/articles/the-lost-era-of-reliability-media-politicians-technology-0384b4e6?mod=business_trendingnow_opn_pos3,Articles,0
California’s Nationwide EV Coercion,2024-03-24 14:42,https://www.wsj.com/articles/california-electric-vehicles-stellantis-gavin-newsom-41a08470?mod=business_trendingnow_opn_pos4,Articles,0
Patient of Elon Musk’s Neuralink Shows Off New Life With Implant,2024-03-23 00:00,https://www.wsj.com/us-news/patient-of-elon-musks-neuralink-shows-off-new-life-with-implant-200f9d2e?mod=business_trendingnow_article_pos3,Politics,3
Jack Daniel’s Flowed During the Pandemic. Now Comes the Hangover.,2024-03-23 00:00,https://www.wsj.com/business/retail/jack-daniels-flowed-during-the-pandemic-now-comes-the-hangover-e72754ec?mod=business_trendingnow_article_pos5,Business,0
