Title,Content,Time,sentiment,subdomain,time
Alumina Signs Binding Agreement on $2.2 Billion Alcoa Takeover,Alumina said its independent nonexecutive directors and CEO recommend shareholders vote in favor of the proposed takeover.,,1,Banking,2024-03-11 22:13:25
Incident on Latam Flight Injures Dozens Aboard Boeing 787 Dreamliner,The Chilean airline says the jet experienced ‘a strong movement’ during a trip from Sydney to Auckland. First responders treated about 50 people.,2024-03-11 17:10,5,Healthcare,2024-03-10 22:13:25
Behind the Alaska Blowout: a Manufacturing Habit Boeing Can’t Break,Snafus in production mean work gets completed out of sequence. “It creates opportunities for failure.”,2024-03-11 15:10,5,Banking,2024-03-09 22:13:25
"East Coast, Gulf Coast Dockworker Talks are Starting Under Threat of a Strike",The International Longshoremen’s Association is seeking to build on strong wage gains other transportation unions have won. The dockworkers’ union is already threatening a strike.,2024-03-11 15:10,1,Banking,2024-03-08 22:13:25
"For CFOs Tackling Weakened SEC Climate Rule, Cost Challenges Persist",Some companies could face difficulties in obtaining a high level of assurance around greenhouse-gas emissions.,2024-03-11 13:10,4,Banking,2024-03-07 22:13:25
EQT and Equitrans Midstream to Combine in Big Natural-Gas Deal,The all-stock transaction will reunite EQT with its former pipeline business.,2024-03-11 07:10,4,Healthcare,2024-03-06 22:13:25
It Isn’t Just Big Tech Propelling Gains in the Stock Market Anymore,A broader group of companies has fueled the recent climb to records.,2024-03-11 00:10,3,Banking,2024-03-05 22:13:25
What You Need to Know About Gold’s Curious Rally,An odd cocktail of factors is spurring the haven asset to records.,2024-03-11 17:10,3,Banking,2024-03-04 22:13:25
Eighty Percent of the World’s Stock Options Aren’t Traded Where You Think,Bitcoin and GameStop made headlines. But an even wilder speculative mania has emerged in India.,2024-03-11 07:10,4,Healthcare,2024-03-03 22:13:25
EQT and Equitrans Midstream to Combine in Big Natural-Gas Deal,The all-stock transaction will reunite EQT with its former pipeline business.,2024-03-11 07:10,1,Healthcare,2024-03-02 22:13:25
Advance Auto Parts Strikes Settlement With Dan Loeb’s Third Point,The company will add three new directors to its board.,2024-03-11 18:10,2,Banking,2024-03-01 22:13:25
S&P 500 Slips Ahead of Key Inflation Data,The benchmark stock index edged down 0.1% but remained within 1% of its record. Tuesday’s report on the consumer-price index could shed light on when the Fed might start cutting interest rates.,2024-03-11 17:10,5,Banking,2024-02-29 22:13:25
Miami’s Office Market Was Red-Hot. Now Its Tallest Planned Tower Can’t Fill Its Space.,"The 1,000-foot project under construction is still searching for an anchor tenant.",2024-03-11 06:10,2,Healthcare,2024-02-28 22:13:25
